0, 1
52.17554(-1.4, 1.5, -3.2)
52.68628(-1.4, 1.5, -3.2)
53.19733(-1.4, 1.5, -3.2)
53.70825(-1.4, 1.5, -3.2)
54.21857(-1.4, 1.5, -3.2)
54.72949(-1.4, 1.5, -3.2)
55.24048(-1.4, 1.5, -3.2)
55.75092(-1.4, 1.5, -3.3)
56.2511(-1.4, 1.5, -3.3)
56.76196(-1.3, 1.5, -3.4)
57.27264(-1.3, 1.5, -3.6)
57.78375(-1.3, 1.5, -3.6)
58.29437(-1.3, 1.5, -3.7)
58.80524(-1.2, 1.5, -3.8)
59.3053(-1.3, 1.5, -3.8)
59.8161(-1.3, 1.5, -3.8)
60.32703(-1.3, 1.5, -3.8)
60.83826(-1.3, 1.5, -3.8)
61.34937(-1.3, 1.5, -3.8)
61.85962(-1.3, 1.5, -3.8)
62.37067(-1.2, 1.5, -3.8)
62.87085(-1.2, 1.5, -3.7)
63.38171(-1.2, 1.5, -3.7)
63.8924(-1.2, 1.5, -3.7)
64.39246(-1.2, 1.5, -3.7)
64.90295(-1.2, 1.5, -3.8)
65.41394(-1.2, 1.5, -3.8)
65.92535(-1.1, 1.5, -3.8)
66.43555(-1.0, 1.5, -3.9)
66.94666(-0.9, 1.5, -3.9)
67.45709(-0.9, 1.5, -4.1)
67.95752(-0.9, 1.5, -4.3)
68.46729(-0.7, 1.5, -4.4)
68.96783(-0.7, 1.5, -4.7)
69.4787(-0.6, 1.5, -4.9)
69.98956(-0.4, 1.5, -5.1)
70.50055(-0.3, 1.5, -5.3)
71.01129(-0.1, 1.5, -5.5)
71.52203(-0.1, 1.5, -5.7)
72.03229(0.1, 1.5, -5.8)
72.54352(0.2, 1.5, -5.9)
73.05383(0.3, 1.5, -6.0)
73.55438(0.4, 1.4, -6.1)
74.06494(0.4, 1.4, -6.1)
74.57562(0.4, 1.4, -6.3)
75.08655(0.4, 1.4, -6.6)
75.59741(0.4, 1.5, -6.9)
76.10834(0.4, 1.5, -7.2)
76.61908(0.4, 1.5, -7.5)
77.12982(0.4, 1.5, -7.7)
77.64099(0.3, 1.5, -8.0)
78.1413(0.5, 1.5, -8.2)
78.65186(0.5, 1.5, -8.4)
79.16229(0.5, 1.5, -8.4)
79.6734(0.6, 1.5, -8.4)
80.18384(0.6, 1.5, -8.6)
80.68433(0.5, 1.4, -8.6)
81.19495(0.5, 1.4, -8.7)
81.70599(0.4, 1.4, -8.8)
82.20618(0.4, 1.4, -8.8)
82.7171(0.4, 1.4, -8.8)
83.22681(0.5, 1.4, -8.9)
0, 6
0.333374(0.6, 1.5, 2.8)
0.8363037(0.7, 1.5, 2.7)
1.342224(0.6, 1.5, 2.8)
1.842773(0.5, 1.5, 2.9)
2.353088(0.5, 1.5, 2.9)
2.85321(0.6, 1.5, 3.0)
3.36377(0.6, 1.5, 3.0)
3.874695(0.6, 1.5, 3.0)
4.385498(0.6, 1.5, 3.0)
4.896423(0.6, 1.5, 3.0)
5.407288(0.6, 1.5, 3.0)
5.907349(0.6, 1.5, 3.0)
6.417725(0.6, 1.5, 3.0)
6.928284(0.6, 1.5, 3.0)
7.428528(0.6, 1.5, 3.0)
7.939026(0.6, 1.5, 3.0)
8.439087(0.6, 1.5, 3.0)
8.94989(0.6, 1.5, 3.0)
9.460449(0.6, 1.5, 3.0)
9.971619(0.6, 1.5, 3.0)
10.48242(0.6, 1.5, 3.0)
10.99335(0.6, 1.5, 3.0)
11.50421(0.6, 1.5, 3.0)
12.01538(0.6, 1.5, 3.0)
12.52625(0.6, 1.5, 3.0)
13.02631(0.6, 1.5, 3.0)
13.53662(0.6, 1.5, 3.1)
14.0473(0.7, 1.5, 3.1)
14.54742(0.7, 1.5, 3.0)
15.05804(0.7, 1.5, 3.0)
15.5686(0.6, 1.5, 3.0)
16.06885(0.6, 1.5, 3.1)
16.57953(0.6, 1.5, 3.1)
17.09076(0.6, 1.4, 3.0)
17.60138(0.6, 1.4, 3.0)
18.112(0.6, 1.5, 3.1)
18.6225(0.6, 1.5, 3.1)
19.12335(0.6, 1.5, 3.1)
19.63397(0.6, 1.5, 3.1)
20.14471(0.6, 1.4, 3.1)
20.65497(0.6, 1.4, 3.0)
21.16589(0.6, 1.4, 3.0)
21.66626(0.6, 1.4, 3.0)
22.17688(0.6, 1.4, 3.0)
22.68756(0.6, 1.4, 3.0)
23.18768(0.6, 1.5, 3.0)
23.69806(0.6, 1.4, 3.0)
24.19849(0.6, 1.4, 3.0)
24.69855(0.6, 1.4, 3.0)
25.2088(0.6, 1.5, 3.1)
25.71991(0.7, 1.5, 3.2)
26.23029(0.6, 1.5, 3.1)
26.74115(0.7, 1.4, 3.0)
27.25195(0.7, 1.4, 3.0)
27.75262(0.6, 1.5, 3.1)
28.263(0.6, 1.5, 3.2)
28.77356(0.5, 1.5, 3.2)
29.2738(0.3, 1.4, 3.3)
29.77527(0.3, 1.5, 3.3)
30.27753(0.2, 1.5, 3.3)
30.7843(0.2, 1.4, 3.3)
31.29492(0.1, 1.4, 3.3)
31.80518(0.1, 1.4, 3.3)
32.31635(0.1, 1.4, 3.4)
32.81647(0.1, 1.4, 3.4)
33.32727(0.1, 1.4, 3.3)
33.83795(0.2, 1.5, 3.3)
34.34882(0.1, 1.4, 3.4)
34.84894(0.1, 1.4, 3.4)
35.35944(0.1, 1.4, 3.4)
35.87042(0.1, 1.5, 3.3)
36.3811(0.2, 1.5, 3.3)
36.88153(0.2, 1.5, 3.3)
37.39221(0.3, 1.5, 3.3)
37.90265(0.4, 1.5, 3.3)
38.40283(0.4, 1.5, 3.3)
38.91357(0.2, 1.5, 3.4)
39.42365(0.2, 1.5, 3.4)
39.92377(0.2, 1.5, 3.4)
40.43469(0.2, 1.5, 3.4)
40.93494(0.3, 1.5, 3.4)
41.44519(0.3, 1.5, 3.4)
41.95618(0.4, 1.5, 3.4)
42.45624(0.4, 1.5, 3.4)
42.96667(0.3, 1.5, 3.4)
43.47729(0.2, 1.5, 3.4)
43.97784(0.2, 1.5, 3.4)
44.48834(0.1, 1.5, 3.4)
44.98883(0.1, 1.5, 3.4)
45.49939(0.3, 1.5, 3.5)
46.00964(0.4, 1.5, 3.6)
46.5097(0.3, 1.5, 3.5)
47.02063(0.3, 1.5, 3.4)
47.52075(0.1, 1.5, 3.4)
48.03149(0.1, 1.5, 3.5)
48.54181(0.0, 1.4, 3.6)
49.0528(0.1, 1.4, 3.5)
49.56366(0.1, 1.4, 3.5)
50.07458(0.1, 1.4, 3.5)
50.58551(0.1, 1.4, 3.5)
51.09613(0.1, 1.4, 3.6)
51.59662(0.0, 1.5, 3.7)
52.10718(-0.1, 1.4, 3.9)
52.60724(-0.1, 1.4, 3.9)
