32.87244(0.3, -151.7, -5.8)
22,4
3.859253(0.6, -153.0, 3.5)
10.39258(-0.7, -153.7, 5.9)
22,5
5.83374(-0.7, -155.1, -3.4)
23,0
15.42163(0.2, -158.4, 6.0)
19.36609(0.0, -158.8, 8.3)
23,1
3.023438(0.1, -159.4, -3.3)
7.245605(0.1, -159.8, -5.8)
11.29004(0.4, -160.3, -8.2)
23,2
12.72998(-0.1, -161.9, 8.8)
23,3
3.61438(0.3, -162.5, -3.4)
7.436646(0.2, -162.8, -5.7)
11.56995(0.4, -163.3, -8.1)
23,4
8.598633(0.0, -164.4, 6.0)
23,5
24,0
4.875366(-0.9, -168.7, 3.9)
8.697632(-0.6, -169.1, 5.9)
24,1
24,2
9.735352(-0.6, -172.8, 5.9)
24,3
24,4
24,5
7.388672(-0.6, -177.4, -5.7)
11.55542(-0.6, -177.8, -8.2)
25,0
4.084595(-0.8, -178.6, 4.1)
25,1
21.19141(-0.7, -181.9, -8.3)
25,2
3.824707(-0.9, -182.6, 3.5)
16.45813(0.2, -184.0, 8.7)
18.09143(0.1, -184.1, 9.2)
25,3
15.48901(0.0, -185.8, -6.3)
25,4
3.18811(0.8, -186.8, 3.5)
12.37708(-0.1, -187.9, 8.3)
25,5
3.58374(0.1, -188.5, -3.3)
7.950317(0.1, -188.9, -5.9)
12.23926(0.4, -189.4, -8.2)
26,0
9.213013(0.1, -190.6, 6.0)
12.96851(0.0, -191.0, 8.4)
26,1
3.519287(0.1, -191.7, -3.3)
8.396973(0.0, -192.2, -5.8)
26,2
3.937622(0.6, -193.4, 3.6)
6.548706(0.0, -193.7, 6.1)
26,3
3.787476(0.2, -194.6, -3.2)
8.054077(0.1, -195.1, -5.8)
11.57629(0.2, -195.5, -8.3)
26,4
8.027466(0.4, -196.5, 3.7)
26,5
4.393677(-0.7, -198.7, -3.4)
10.18262(0.3, -199.3, -5.8)
14.67151(0.2, -199.7, -8.4)
27,0
10.90259(-0.5, -201.4, 6.0)
15.44702(-0.9, -201.9, 8.5)
27,1
7.744141(-0.6, -202.9, -5.8)
11.76636(-0.4, -203.3, -8.2)
27,2
6.272461(-0.7, -204.2, 6.0)
27,3
27,4
4.018066(-0.9, -206.6, 4.4)
11.92908(-1.0, -207.5, 8.7)
27,5
10.62451(-0.6, -208.8, -8.2)
