0, 1
62.38843(357.4, 171.8, 1.8)
62.89935(357.3, 164.0, 4.1)
63.40948(354.8, 171.3, 360.0)
63.92065(356.5, 172.9, 1.2)
64.43134(357.9, 172.3, 3.3)
64.9422(356.6, 178.0, 2.5)
65.45291(355.0, 179.7, 3.0)
65.96393(355.2, 185.9, 3.6)
66.4747(355.9, 187.7, 2.3)
66.9856(356.2, 180.2, 3.2)
67.49667(356.9, 173.6, 4.9)
68.00739(359.5, 166.4, 3.0)
68.51816(357.9, 167.0, 3.7)
69.02866(358.0, 169.2, 3.5)
69.52896(355.1, 157.3, 5.4)
70.02902(356.9, 146.3, 6.7)
70.5397(358.3, 118.8, 7.1)
71.05051(358.4, 103.6, 4.8)
71.5611(1.1, 150.2, 1.7)
0, 4
0.3562317(360.0, 157.7, 1.5)
0.8663635(0.7, 91.0, 8.8)
1.366455(359.7, 24.5, 3.4)
1.877014(359.2, 5.7, 3.3)
2.377136(357.2, 3.1, 2.2)
2.887878(356.2, 8.2, 2.6)
3.398865(357.7, 10.3, 1.9)
3.899109(357.4, 8.8, 2.6)
4.409912(355.8, 8.0, 3.0)
4.92041(356.2, 8.2, 2.8)
5.420685(357.1, 11.0, 1.9)
5.931671(356.5, 10.0, 2.9)
6.442902(357.1, 9.7, 3.2)
6.952759(357.9, 7.8, 4.8)
7.463348(357.7, 2.5, 4.2)
7.973999(356.2, 4.7, 2.0)
8.474213(355.8, 3.4, 1.1)
8.974426(355.9, 7.6, 2.3)
9.485138(354.6, 7.1, 2.0)
9.98526(354.2, 5.5, 2.6)
10.49551(353.5, 5.1, 2.3)
11.00558(353.9, 4.9, 2.3)
11.5061(353.0, 359.2, 3.7)
12.01694(353.9, 357.2, 2.5)
12.52768(355.6, 357.9, 360.0)
13.03854(354.0, 354.7, 2.9)
13.54926(354.9, 350.5, 3.3)
14.06042(355.4, 354.0, 0.4)
14.57098(355.1, 351.8, 3.3)
15.07114(348.2, 355.6, 3.5)
15.58194(346.0, 13.4, 359.1)
16.09253(345.9, 26.7, 358.6)
16.60339(344.8, 31.6, 359.0)
17.10345(344.9, 25.1, 0.4)
17.61392(340.5, 357.6, 9.7)
18.12503(339.5, 354.7, 9.7)
18.63623(339.7, 1.7, 7.8)
19.14664(345.0, 32.2, 357.5)
19.65775(350.2, 40.1, 353.4)
20.16867(353.3, 52.3, 354.7)
20.67966(351.9, 46.4, 357.3)
21.19009(350.7, 348.6, 7.1)
21.7012(348.1, 339.7, 7.7)
22.21213(347.3, 343.0, 5.7)
22.72269(351.0, 353.6, 3.8)
23.22275(357.0, 344.4, 4.2)
23.73373(356.8, 344.9, 4.9)
24.24399(354.1, 347.3, 2.9)
24.74405(354.9, 344.5, 5.4)
25.25479(353.0, 344.1, 4.5)
25.7551(355.1, 344.6, 3.8)
26.26553(353.7, 343.1, 5.0)
26.76566(353.2, 346.5, 4.8)
27.27609(354.0, 342.9, 4.9)
27.7872(350.0, 347.3, 3.2)
28.29794(349.9, 350.3, 4.5)
28.80862(350.4, 349.8, 5.6)
29.31943(352.5, 353.3, 4.3)
29.81967(352.5, 353.9, 4.1)
30.33041(355.3, 348.5, 6.2)
30.8309(356.8, 345.2, 3.4)
31.34103(358.2, 339.3, 5.9)
31.85172(355.3, 341.5, 3.0)
32.36215(354.9, 340.7, 4.7)
32.86227(355.0, 345.5, 2.0)
33.37314(355.2, 344.6, 4.2)
33.88394(354.0, 347.6, 1.6)
34.38425(353.6, 352.2, 1.7)
34.89517(356.1, 352.8, 3.5)
35.40573(354.7, 358.0, 2.5)
35.91641(354.0, 3.4, 2.0)
36.42746(353.8, 4.9, 2.5)
36.93796(353.4, 7.6, 3.2)
37.44876(354.6, 10.7, 2.3)
37.94913(355.6, 17.2, 1.8)
38.45963(355.5, 13.0, 5.2)
38.97043(355.5, 10.1, 3.5)
39.47067(356.8, 11.4, 2.2)
39.98087(355.9, 10.0, 3.7)
40.49173(356.1, 10.3, 3.8)
41.00272(355.9, 6.8, 4.8)
41.50284(353.9, 8.6, 3.9)
42.0137(354.6, 9.6, 3.4)
42.52438(353.5, 7.2, 4.3)
43.03525(352.8, 10.6, 3.2)
43.54605(353.1, 11.2, 3.3)
44.05685(353.8, 9.2, 4.9)
44.56796(353.0, 12.2, 3.2)
45.07883(350.3, 16.5, 1.7)
45.58951(353.1, 13.8, 3.7)
46.10043(354.7, 16.6, 2.6)
46.61124(353.4, 21.3, 2.0)
47.1221(352.3, 23.2, 2.0)
47.63327(355.2, 16.3, 4.2)
48.14365(357.5, 19.1, 2.3)
48.65463(357.3, 23.0, 0.7)
49.15475(356.2, 17.9, 3.6)
49.66556(355.1, 21.9, 2.0)
50.1763(355.7, 24.0, 1.1)
50.68698(354.7, 20.4, 3.0)
51.19797(355.2, 24.5, 359.1)
51.70859(355.6, 23.2, 0.3)
52.20877(353.9, 22.6, 2.3)
52.71964(354.1, 24.1, 1.1)
53.23093(353.3, 24.8, 1.5)
53.74118(355.6, 23.8, 1.9)
54.25211(354.1, 25.2, 1.4)
54.76297(355.4, 21.7, 1.9)
55.26303(356.8, 24.8, 1.4)
55.77347(356.1, 24.1, 3.0)
56.28415(354.5, 25.0, 3.7)
56.79495(354.4, 28.0, 2.5)
57.29532(352.4, 21.2, 4.3)
57.80606(354.0, 23.7, 0.1)
58.31699(357.1, 21.0, 359.2)
