6.871094(0.7, -142.5, 3.6)
17.22656(0.6, -143.7, 8.4)
23,5
6.658447(0.7, -144.6, -3.5)
16.29187(0.8, -145.6, -8.4)
24,0
21.28906(1.1, -148.0, 6.2)
24,1
9.521362(0.8, -149.9, -5.9)
18.85474(-1.1, -150.8, -9.0)
24,2
10.95313(-1.0, -152.1, 3.8)
14.51978(-0.9, -152.5, 6.0)
24,3
10.84045(-0.5, -154.4, -6.0)
14.91821(-0.6, -154.8, -8.3)
24,4
7.115601(0.4, -155.8, 3.5)
13.09338(0.9, -156.5, 6.1)
24,5
25,0
16.34875(0.9, -161.7, 3.5)
26.0376(0.8, -162.8, 5.9)
25,1
25,2
25,3
20.54395(-0.5, -170.9, -8.4)
25,4
9.744141(-1.0, -172.3, 6.1)
25,5
5.474976(-0.9, -173.9, -3.6)
7.797241(-0.9, -174.1, -4.3)
20.47498(1.0, -175.4, -8.3)
21.83057(1.2, -175.3, -8.7)
26,0
15.26404(0.7, -177.2, 3.5)
20.40845(0.6, -177.8, 5.9)
25.99731(0.5, -178.4, 8.3)
26,1
14.48254(0.3, -180.2, -8.5)
26,2
26,3
26,4
6.007202(-1.0, -184.7, 3.6)
15.69604(-0.3, -185.8, 8.4)
26,5
18.05994(-0.4, -188.0, -8.3)
27,0
8.636841(-0.8, -189.2, 3.4)
12.52576(-0.5, -189.6, 5.9)
27,1
27,2
6.479858(-0.2, -192.7, 4.0)
16.07983(0.8, -193.7, 8.3)
27,3
6.188232(0.5, -194.5, -3.6)
27,4
20.17505(0.3, -198.0, 6.0)
26.25293(0.4, -198.7, 8.4)
27,5
23.19995(0.7, -201.4, -8.4)
